CreditScore,Age,Balance,Salary,Exited
695,54,76302.46,137086.54,1
638,49,0,161744.6,1
708,41,201147.42,187223.06,1
787,34,0,13826.19,0
629,47,145594.07,39218.9,0
629,44,126871.68,178372.55,1
792,49,0,97118.53,0
719,46,156375.62,117272.22,0
608,50,69136.46,135975.17,1
699,35,0,139022.65,0
608,53,0,187030.68,1
608,42,115436.43,199420.39,0
672,61,77309.4,146829.92,1
478,33,205772.92,64572.03,0
495,57,0,177152.96,1
599,42,0,19351.97,1
559,33,115149.42,53905.36,0
678,35,0,180503.29,1
568,37,0,58676.39,0
523,44,0,51923.7,0
782,45,194485.27,36243.81,0
630,34,215688.54,173231.23,0
656,40,79155,105011.07,0
522,61,134967.65,138229.71,1
601,57,210186.91,55422.61,1
660,44,247373.33,154027.68,1
546,40,0,154401.05,0
684,41,93495.35,69393.62,1
596,46,49596.46,88029.7,0
624,30,122858.74,49841.15,0
596,37,185668.72,195546.59,0
817,23,123649.7,132664.49,0
649,44,0,187563.34,1
555,46,209719.37,67643.25,1
724,35,90989.54,158559.27,0
540,56,215088.87,155513.14,1
669,28,102294.4,141414.57,0
474,25,82730.04,193471.41,1
530,42,0,84775.51,1
668,50,190849.29,34836.29,1
716,57,0,137624.68,0
665,35,49908.38,148568.86,0
640,51,237909.76,119261.51,1
623,40,44697.42,49295.4,1
517,38,142364.1,105846.63,1
585,49,145249.3,69316.05,0
609,47,0,91218.64,1
745,24,161541.57,132591.53,0
681,55,0,151590.8,1
491,54,138612.9,54122.69,1
679,34,0,87011.82,0
615,44,0,61140.7,0
589,45,36164.66,47740.01,1
705,43,0,158843.57,1
743,34,47132.32,182758.01,1
734,33,70382.12,80344.12,0
574,40,0,152743,1
622,52,46526.61,180429.1,1
680,45,0,170763.6,0
738,36,0,44734.54,0
607,48,231853.82,191695.46,1
633,18,0,81568.52,0
550,51,143243.86,74455.73,1
542,23,0,21861.95,0
723,36,0,102372.99,0
772,29,199635.33,30712.59,1
644,27,92480.29,57222.57,0
740,52,0,70219.1,0
683,35,139639.44,163677,0
592,43,0,176342.84,1
683,40,199185.67,67468.6,1
788,45,44605.66,173152.64,1
647,41,168518.39,172873.88,1
791,27,55905.56,155283.68,0
414,50,55333.68,37872.07,1
724,35,218643.87,141161.34,0
658,24,63167.57,189554.57,1
623,36,66548.59,139682.69,0
658,55,0,73007.2,1
471,49,217796.59,105110.07,1
630,37,198356.11,132687.76,1
682,37,157204.9,107008.38,1
783,37,187816.18,32791.06,0
603,61,38860.09,69292.17,1
577,44,0,162455.25,1
605,44,0,173669.43,1
732,50,24350.36,36087.01,1
680,42,122046.49,190953.48,1
602,37,230264.17,72476.3,1
696,38,10974.72,135839.61,0
659,39,73573.77,152846.78,1
737,40,52677.69,164269.78,1
587,47,0,189692.44,1
621,41,0,69454.71,0
615,47,117549.19,173116.23,1
518,39,117108.55,35020.51,1
677,41,0,143957.77,0
673,20,39468.56,150975.77,0
650,49,122329.07,138767.42,1
629,43,108066.32,57939.8,0
523,50,149630.76,175878.2,1
612,18,249889.87,42083.11,0
619,61,0,20190.61,1
578,39,100068.56,146318.35,0
635,51,207060.71,100340.39,1
686,30,0,171328.62,0
820,46,8585.46,82845.46,1
666,29,51907.64,41972.93,1
673,34,85762.48,168924.02,0
643,59,128134.61,114292.83,0
477,38,0,45947.2,0
648,42,227740.82,146872.96,1
655,49,127953.65,107111.59,1
850,45,125817.64,124819.47,1
633,42,0,97570.68,0
677,44,9692.98,167454.71,0
647,64,138238.83,167616.92,1
545,39,0,144783.88,0
753,42,0,30026.26,0
718,51,41009.22,169382.23,0
721,51,7217.94,137492.47,1
568,52,112810.65,142434.59,1
776,46,60132.16,78966.74,0
524,29,13353.98,177063.12,1
703,56,181424.97,147820.6,1
847,29,0,31392.19,0
561,43,152471.56,87477.83,0
599,32,0,178412.27,1
659,39,44200.52,18967.37,0
605,43,0,192669.16,1
510,43,0,139040.89,0
656,44,98631.3,129961.44,1
554,56,0,61406.26,1
693,45,32246.09,57270.44,1
567,38,0,188991.06,0
789,50,59996.4,66671.77,1
580,52,169670.89,157346.01,1
621,28,0,84693.14,0
723,46,0,36458.27,0
539,47,97443.31,12035.91,0
670,37,17475.13,113408.89,1
768,54,5769.72,195397.98,0
505,38,206887.78,80135.88,1
667,41,131659.17,77866.54,1
673,38,0,75377.41,0
720,40,59371.97,108903.33,0
539,29,86925.85,93726.33,0
531,26,8495.86,177183.78,1
697,56,240411.59,106048.95,1
677,32,167299.11,106473.99,1
673,30,233368.07,36290.6,0
681,18,67108.61,196720.51,0
589,34,153254.44,57494.85,1
671,27,169946.49,23939.17,1
676,56,0,135997.79,1
586,50,0,123119.61,1
818,33,236843.2,88877.67,0
693,63,221328.92,90216.52,1
543,50,0,159162.14,0
709,37,0,47185.4,1
562,18,0,165848.13,0
721,63,0,133261.95,0
754,26,3560.84,89604.26,1
576,24,179296.44,97025.44,0
737,50,176855.29,58762.97,1
687,64,156049.7,152901.72,0
724,54,0,107446.2,0
821,46,0,70962.36,1
628,46,85652.99,123249.52,1
582,49,20655.91,199189.55,1
570,48,111256.74,92699.83,1
577,43,0,184931.37,1
643,41,86503.29,75553.2,1
681,39,208808.38,20399.21,1
675,32,233935.64,48806,0
724,37,47247.53,89552.08,1
651,23,93754.72,51730.64,1
781,39,232229.01,10043.14,0
626,30,0,183850.29,1
850,29,0,170337.09,1
706,42,0,151035.52,1
573,54,149208,41884.77,0
554,49,38467.6,32869.08,0
693,24,242051.02,22844.9,1
630,30,0,147565.55,0
714,49,125877.97,186473.51,1
693,30,62418,91801.81,0
643,38,118269.1,32636.73,0
574,46,165816.49,107354.64,1
514,30,188043.11,76278.06,1
610,41,188713.15,81216.74,1
727,27,0,128052.82,0
669,34,226185.58,146556.44,0
538,43,0,31014.68,1
666,24,0,16762.14,0
685,44,0,198922.76,0
570,40,2712.61,54218.39,1
664,46,53899.37,20227.8,0
655,42,166217.37,46076.31,0
547,54,0,17401.99,0
682,41,101199.16,84444.07,0
700,36,221262.14,162456.34,0
747,41,223995.15,74836.45,1
745,45,227384.64,94394.85,0
526,40,0,138361.49,1
566,40,173072.9,106689.87,0
696,33,68636.66,173674.68,0
696,33,0,174546.78,0
696,26,46973.48,11883.03,0
850,57,86184.8,157828.8,1
701,28,108059.45,97539.38,0
752,33,0,197879.7,0
736,33,0,101814.09,0
709,49,0,197510.23,0
622,37,133332.27,153368.18,0
718,52,72698.39,57234.93,1
580,33,0,112295.05,0
629,43,75685.58,198505.77,0
606,32,149424.41,172930.82,1
657,61,0,28499.71,1
850,28,41936.98,144210.68,0
482,43,30029.19,75660.12,0
712,46,0,11326.63,0
505,44,0,86661.38,0
608,38,86645.46,54603.34,1
748,39,183517.03,165585.16,0
656,40,165006.68,74092.82,1
553,39,232957.17,167229.5,1
586,50,0,10113.61,1
711,62,0,68485.64,1
584,34,164600.59,55821.39,0
669,26,0,54377.8,1
654,39,0,22955.46,0
591,66,82371.88,45553.61,1
843,32,3691.96,115554.42,0
707,56,206811.22,65358.6,1
468,57,200444.19,89305.01,1
667,34,0,81604.71,0
590,46,144637.49,176421.94,1
727,56,0,182006.81,0
579,36,30558.56,103661.82,0
640,38,245161.49,72729.63,1
695,34,54459.28,30292.13,1
728,30,17741.31,191146.55,0
542,34,149117,21443.12,0
620,28,0,66553.55,0
607,40,9078.42,66632.58,1
591,32,165020.69,70876.24,0
809,42,0,41214.5,1
686,24,26712.99,158800.67,0
537,43,43958.45,33274.59,0
733,48,0,130632.27,1
841,20,74793.05,33530.75,0
743,44,234640.62,23401.77,1
513,52,204866.32,182791.61,1
606,28,245908.23,46124.47,0
764,57,65658.04,166037.53,1
586,44,242461.18,113479.87,1
690,33,108377.23,24792.74,1
720,39,0,191535.16,0
567,46,13537.03,56922.62,1
645,41,14138.55,173332.62,1
358,45,0,42073.9,1
558,31,115024.32,172249.15,0
627,42,57403.88,12513.47,0
538,26,0,107238.29,1
797,39,63961.67,156194.09,1
521,31,144830.31,187611.15,1
610,33,90442.98,182748.41,1
662,52,0,165728.73,1
780,51,0,178756.36,0
521,46,119860.25,47851.74,1
755,29,88353.96,63995.02,0
651,37,0,64904.02,0
562,52,201622.92,81640.25,1
692,41,0,84730.93,0
668,63,53055.78,113465.51,1
596,44,22087.4,40377.16,1
656,42,117206.59,141336.87,0
615,37,0,41837.64,1
660,41,210386.27,68958.61,1
710,38,0,105635.57,0
793,47,95866.83,161323.71,0
539,50,202293.03,150499.15,1
842,32,0,132651.53,0
474,27,0,39596.92,1
636,22,115321.88,113938.62,0
703,45,76518.19,26614.84,0
675,29,233206.16,81699,0
594,18,0,88568.14,0
631,44,233503.61,17564.17,1
606,65,171282.75,62057.74,1
597,40,133361.47,191573.4,1
726,48,9132.11,191190.2,1
682,41,119423.45,76942.14,1
588,39,102529.28,18189.02,1
731,49,41143.48,44028.04,0
678,37,164445.99,84521.38,1
723,43,242816.58,190078.14,1
707,43,0,36827.82,0
575,33,178973.57,155068.01,1
600,50,18044.16,30649.68,1
717,38,104999.08,196438.94,1
705,32,0,82507.13,0
648,45,0,157294.56,0
661,31,234682.06,75092.31,0
765,40,0,129257.09,0
597,40,20123.96,46483.06,0
699,51,0,37743.99,1
632,45,0,188232.19,1
630,40,0,184352.98,1
749,48,0,178619.1,0
724,54,203853.08,128832.36,1
723,46,0,163570.96,0
767,40,93991.03,23117.02,1
652,27,64578.76,73609.92,0
711,29,27362.71,69603.59,0
622,37,89369.52,130772.61,1
679,34,103879.96,77631.98,0
638,38,169279.91,38216.29,1
659,41,0,123328.74,0
704,45,18456.93,164732.94,0
576,39,99419.57,82603.46,1
838,45,46262.94,35131.06,1
559,41,40046.36,47370.76,0
541,20,206998.24,55121.83,0
754,31,11436.89,66980.54,0
721,39,105376.54,132131.06,1
706,28,42882.71,124179.64,0
707,46,0,142255.17,0
649,55,139703.09,78875.38,1
569,52,0,166559.55,1
657,38,126104.39,48776.66,1
589,55,183140.1,99117.74,1
738,41,0,162178.36,1
637,37,0,44230.14,0
576,34,0,30873.99,1
621,37,233641.72,177899.95,1
687,36,229188.72,75156.64,0
599,42,159218.17,139935.32,0
576,42,157825.34,14816.23,0
672,40,101399.45,141108.91,1
672,44,188347.07,70059.25,0
604,52,133292.21,20590.76,1
608,49,169682.08,125864.42,1
671,25,107686.02,55752.73,1
520,18,0,83493.38,0
523,49,206293.41,25310.35,1
585,26,37462.63,37961.02,0
631,38,0,66615.67,1
678,28,135533.84,27054.31,0
783,22,0,183056.99,0
727,45,0,11148.94,0
636,48,95381.08,101933.44,1
648,34,0,33417.02,1
560,18,63541.15,68459.03,0
648,35,211208.87,185951.32,1
624,44,0,40721.97,0
679,25,129009.77,193508.14,0
576,42,0,49100.93,0
697,40,143687.51,150897.56,1
788,46,81977.59,113868.68,1
640,41,0,178050.96,1
686,30,0,115258.72,0
712,52,2588.38,111566.25,0
614,38,244610.34,47137.02,1
670,40,0,41583.58,0
651,31,99393.67,184132.94,1
659,36,182364.34,72289.26,0
580,31,87105.72,80695.63,0
652,38,168102.2,154366.5,1
695,57,201552.08,74376.46,1
781,26,236742.3,190891.86,1
736,24,100652.86,150206.28,0
844,55,196041.2,123511.56,1
581,38,0,177370.08,0
729,33,247592.74,19425.12,1
667,50,7416.63,58841.91,0
847,34,151278.67,98356.9,0
577,58,165216.99,53125.92,1
574,47,172323.34,151341.99,1
596,35,30976.51,184649.53,0
459,62,234693.92,90516.32,1
603,34,46114.64,75005.19,1
582,47,0,192694.64,1
664,43,56446.34,94521.96,0
681,53,77496.89,102919.2,1
819,56,0,76813.48,0
736,40,104881.16,182814.21,0
598,32,40896.17,118101.54,1
569,45,43563.16,154813.17,1
694,33,0,164243.28,1
531,60,0,74951.32,1
815,41,224593.2,92401.92,1
756,36,0,171209.64,1
608,42,98882.87,79018.52,0
496,27,25961.15,160847.68,0
772,30,0,188788.54,0
640,52,165767.95,128409.97,1
761,33,151009.91,150909.18,1
507,30,41591.76,162968.49,0
596,45,59219.4,170557.53,0
650,52,6903.23,85060.13,1
654,47,208901.85,19740.06,1
609,50,243697.96,86356.49,0
706,32,34729.42,138013.68,0
554,26,58637.33,95566.57,1
637,55,217233.97,152303,1
661,37,231689.49,77826.66,1
696,37,105487.22,130601.39,1
714,53,0,45419.76,0
549,46,10808.57,152380.19,0
512,45,0,113682.23,1
765,62,98830.88,48772.23,0
680,34,8134.45,65463.12,0
583,49,146229.85,152235.65,0
790,41,3814.33,101694.23,0
660,43,197055.62,51045.97,0
756,55,77301.77,193781.53,0
656,45,11024.24,145873.75,1
835,45,147499.7,191855.62,0
808,51,100023.42,91149.96,0
628,36,243476.3,100269.06,0
737,32,0,180611.49,1
708,30,69534.56,109759.37,0
773,20,177650.28,144382.99,0
563,61,68601.51,57912.85,1
712,29,0,94878.03,0
745,38,94305.77,33455.47,1
492,37,0,49136.21,1
544,43,13592.7,10179.25,1
466,48,107104.19,17460.36,1
626,49,208258.52,195683.93,1
715,34,0,56047.2,1
785,38,56855.32,136029.03,0
657,43,57293.69,169428.94,1
797,38,204509.02,114625.49,1
526,56,232669.21,39097.46,1
497,45,0,148342.12,1
645,47,113064.6,124047.77,0
685,47,85026.12,148937.61,0
647,52,217801.43,156251.86,0
464,42,0,195327.97,1
642,27,53570.36,118977.02,0
533,44,188364.62,74911.81,1
710,33,13772.17,133208.27,0
683,35,0,23003.73,1
565,46,111084.65,180505.49,1
604,52,0,32682.39,1
555,40,99248.51,72290.14,0
644,43,0,164991.62,1
736,57,41180.47,123489.35,1
561,42,143426.97,84790.75,1
695,66,201552.65,99952.78,1
602,46,0,172364,0
579,22,39321.08,74600.83,0
640,48,38163.12,175233.44,1
557,44,67775.42,26745.54,0
600,53,90907.61,157591.7,1
542,47,0,171034.05,1
827,39,170244.61,44545.35,0
653,28,0,91765.84,1
587,38,9633.5,41444.96,0
669,31,0,144254.78,0
640,34,174593.76,111716.08,0
630,46,49165.4,130711.44,1
705,57,160734.62,47332.52,1
718,44,65697.21,50231.71,0
602,28,221635.44,17884.49,1
598,44,224026.8,71192.83,1
625,52,0,116351.49,1
443,34,58268.44,173007.63,1
